ticker,company,country
ADS.DE,Adidas,Germany
ADYEN.AS,Adyen,Netherlands
AD.AS,Ahold Delhaize,Netherlands
AI.PA,Air Liquide,France
AIR.PA,Airbus,France
ALV.DE,Allianz,Germany
ABI.BR,Anheuser-Busch InBev,Belgium
ARGX.BR,argenx,Belgium
ASML.AS,ASML Holding,Netherlands
CS.PA,AXA,France
BAS.DE,BASF,Germany
BAYN.DE,Bayer,Germany
BBVA.MC,BBVA,Spain
BMW.DE,BMW,Germany
BNP.PA,BNP Paribas,France
BN.PA,Danone,France
DBK.DE,Deutsche Bank,Germany
DB1.DE,Deutsche Börse,Germany
DHL.DE,Deutsche Post / DHL Group,Germany
DTE.DE,Deutsche Telekom,Germany
ENEL.MI,Enel,Italy
ENI.MI,Eni,Italy
EL.PA,EssilorLuxottica,France
RACE.MI,Ferrari,Italy
RMS.PA,Hermès,France
IBE.MC,Iberdrola,Spain
ITX.MC,Inditex,Spain
IFX.DE,Infineon Technologies,Germany
INGA.AS,ING Group,Netherlands
ISP.MI,Intesa Sanpaolo,Italy
OR.PA,L'Oréal,France
MC.PA,LVMH,France
MBG.DE,Mercedes-Benz Group,Germany
MUV2.DE,Munich Re,Germany
NDA-FI.HE,Nordea,Finland
PRX.AS,Prosus,Netherlands
RHM.DE,Rheinmetall,Germany
SAF.PA,Safran,France
SGO.PA,Saint-Gobain,France
SAN.PA,Sanofi,France
SAN.MC,Banco Santander,Spain
SAP.DE,SAP,Germany
SU.PA,Schneider Electric,France
SIE.DE,Siemens,Germany
ENR.DE,Siemens Energy,Germany
TTE.PA,TotalEnergies,France
UCG.MI,UniCredit,Italy
DG.PA,Vinci,France
VOW3.DE,Volkswagen Group,Germany
WKL.AS,Wolters Kluwer,Netherlands
